,id,text,sentiment
0,1342325661722013696,"We wish a grand success for Supreme Hero @IamSaiDharamTej, @SVCCofficial for #SoloBrathukeSoBetter release. First Major Theatrical release post lockdown. Watch the movie only in theatres. #CelebrateCinema https://t.co/gjyEFPSOni",0.278125
1,1342325654826577920,"Sorry to disappoint, but I’ve not made a dollar from my tv appearances or interviews. I do them because there is an awful vacuum in science communication leading to unnecessary deaths from COVID19. Re “crappy books”? They’re meaningful to me, inspire some, but not big moneymakers https://t.co/LcwMBxroA9",-0.75
2,1342325657598980100,"This is wild.
The WHO changed the definition of ‘herd immunity’ on their website, eliminating the original position that it could be achieved by the virus spreading through the population. https://t.co/COepDOjCzv",0.2375
3,1342325657368346624,@mayawiley Patches. She is with us 2 years this week. We all wish you a happy holiday and a virus free quarantine. 🤞❤️ https://t.co/IGWAO489Do,0.6000000000000001
4,1342325659071348738,DocSend CEO peers into a post-pandemic future https://t.co/P8reNqvPbD,0.0
5,1342325667149402112,The United States is the only advanced democracy not to give direct and substantial cash relief to its citizens during this pandemic. Perhaps just let that sink in.😞,0.16666666666666666
6,1342325665610133504,"Don't worry, America. You might not get the COVID relief checks you so desperately need, but four war criminals were pardoned for their war crimes so. America first, etc.",-0.6
7,1342325665329270784,We are in a pandemic with mass unemployment AND it's holiday season. How is Amazon protecting its workers from this type of thing? https://t.co/Llpo46FjQH,0.0
8,1342325663710253056,"I need politicians to stop saying “The Black community doesn’t trust our vaccine” and start saying:

“We have a history of medically abusing Black people, thus we violated their trust.”",-0.16666666666666666
9,1342325656361693184,"@DrRPNishank Respected Sir no need of this counselling, all the children are living with corona fear n wht would happen to thr future without schl so pls promote all by showing leniency during correction, thr shd be no failures this year, consider this let exams be whnever",0.0
10,1342325657167142912,"2020 is the deadliest year in US history, with deaths expected to top 3,000,000 for the first time — due mainly to the coronavirus pandemic, CDC data shows. https://t.co/CfuWm6MI4v",0.13833333333333336
11,1342325668558864384,"Let’s all give thanks this holiday season to the grocery store workers, warehouse workers, farm workers, meatpacking workers, restaurant workers, delivery workers, and all the essential workers who have risked their health to keep us fed during this pandemic. We’re in their debt.",0.2
12,1342325665689845761,"My heart is heavy that courageous physician  @zev_dr who saved thousands of lives,developed and published a protocol to treat COVID-19 is suspended by powers that be for speaking truth. Never did I think Marxist forces would control medicine and top down shut down physicians. https://t.co/Gv0R8fj58q",-0.2
13,1342325651051741184,Pence’s Colorado vacation — defying the national pandemic he was assigned to help thwart — is your tax dollars at work.,0.0
14,1342325659717103618,It never ends. First masks don’t work.  Then masks always work.  First it cannot be spread via aerosol.  Now it’s primarily spread by aerosol.  First herd immunity includes getting infected.    Now herd immunity only includes vaccinations. Our CDC is a fraud. https://t.co/SJckuqVfl8,0.25
15,1342325651131416576,"This is what happens when, instead of telling the truth, you shade it to manipulate the public. As a result, you lose credibility and your advice and warnings go unheeded. https://t.co/A0LyXSl7kD",0.0
16,1342325662351314946,Just realized that Space Jam came out exactly 23 years before the date that coronavirus shut down the NBA,0.047222222222222214
17,1342325670135926785,@NikitaDragun's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,0.0
18,1342325653291593728,Spoke to a philanthropist who switched from donating items to cash during the pandemic.  “Cash was faster and worked better when we found we weren’t able to keep doing what we were doing.”  Now she wants to stay committed to cash transfers into the future.,0.5
19,1342325669489864704,2021 will be another year of pandemic all over again. https://t.co/vXUStkVRpa,0.0
20,1342325661059469314,A must see video https://t.co/eTRyzLvqEA,0.0
21,1342325660300292096,New COVID variant detected in Germany https://t.co/gy6v38AkEL,0.13636363636363635
22,1342325656240197632,"Why are they investigating the effect of the COVID vaccine on male fertility?
The vaccine contains *no* virus particles. https://t.co/N7Gcs0EuVF",0.0
23,1342325660287606784,It's a chili &amp; champagne Jewish pandemic Christmas. Cheers &amp; be merry folks 🥂🍾 https://t.co/aibFqwf594,0.0
